9/13/2021,Unnamed: 1,Unnamed: 2,Unnamed: 3,P U R C H A S E,O R D E R,Unnamed: 6,P.O. 9FV10901,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
CONFIRMATION #,,,,,,,,,,,
TRUCKING COMPANY STEER C/O COBALT,,,,,,,,,,,
----------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,
ITEM,ORD QTY,SIZE,DESC,PRODUCT,U/C,WEIGHT,UPC,CASE $,SPA $,NET,EXT.
,,,,,,,AT ENTRY AT ENTRY,,,CASE $,AMOUNT
----------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,
173100,224/000 750,,FITVINE,CAB,12,8602,8 53086 00800,85.00,1.00,84.00,18816.00
173112,28/000 750,,FITVINE,PINOT GRIGIO,12,1075,8 53086 00807,85.00,1.00,84.00,2352.00
173113,14/000 750,,FITVINE,ROSE,12,532,8 53086 00809,102.00,,102.00,1428.00
173115,14/000 750,,FITVINE,PROSECCO,12,571,8 53086 00825,102.00,,102.00,1428.00
173128,11/000 750,,FITVINE,CAB/CHARD HOLIDAY COPACKS,6,396,8 53086 00835,85.00,,85.00,935.00
**,291.00,,,,,11176,,,,,24959.00
---- RECAP BY PROOF CODE,,,,(GALLONS),,,,,,,
1,14%< WINE,,,645.66,,,,,,,
6,SPARKLING,,,33.29,,,,,,,
,,**TOTALS: 291/0,,"QTY.,","678.95 GALLONS,","2569.500 LITERS,",,.00,,,
,,,,"11176.00 POUNDS,",,.0 CUBE,,,,,
,,"HEIDELBERG DISTRIBUTING COMPANY AND ITS AFFILIATED COMPANIES, REQUIRES CONFIRMATIONS WITHIN 3",,,,,,,,,
,,"BUSINESS DAYS TO PURCHASE ORDERS TO INSURE CORRECT ITEM, VINTAGE, QUANTITY, AND COST. WITH NO",,,,,,,,,
,,"CONFIRMATION WE WILL ASSUME THAT OUR PURCHASE ORDER IS CORRECT AND WILL EXPECT YOU TO FULFILL,",,,,,,,,,
,,DELIVER AND INVOICE AS REQUESTED.,,,,,,,,,
