9/13/2021,Unnamed: 1,Unnamed: 2,Unnamed: 3,P U R C H A S E,O R D E R,Unnamed: 6,P.O. 3FV10901,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
CONFIRMATION #,,,,,,,,,,,
TRUCKING COMPANY STEER C/O COBALT,,,,,,,,,,,
----------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,
ITEM,ORD QTY,SIZE,DESC,PRODUCT,U/C,WEIGHT,UPC,CASE $,SPA $,NET,EXT.
,,,,,,,AT ENTRY AT ENTRY,,,CASE $,AMOUNT
----------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,
173100,14/000 750,,FITVINE,CAB,12,538,8 53086 00800,85.00,1.00,84.00,1176.00
173105,20/000 750,,FITVINE,CHARD,12,780,8 53086 00805,85.00,1.00,84.00,1680.00
173110,14/000 750,,FITVINE,SAUV BLANC,12,538,8 53086 00803,85.00,1.00,84.00,1176.00
173112,21/000 750,,FITVINE,PINOT GRIGIO,12,806,8 53086 00807,85.00,1.00,84.00,1764.00
173128,6/000 750,,FITVINE,CAB/CHARD HOLIDAY COPACKS,6,216,8 53086 00835,85.00,,85.00,510.00
**,75.00,,,,,2877,,,,,6306.00
---- RECAP BY PROOF CODE,,,,(GALLONS),,,,,,,
1,14%< WINE,,,171.23,,,,,,,
,,**TOTALS: 75/0,,"QTY.,","171.23 GALLONS,","648.000 LITERS,",,.00,,,
,,,,"2877.60 POUNDS,",,.0 CUBE,,,,,
,,"HEIDELBERG DISTRIBUTING COMPANY AND ITS AFFILIATED COMPANIES, REQUIRES CONFIRMATIONS WITHIN 3",,,,,,,,,
,,"BUSINESS DAYS TO PURCHASE ORDERS TO INSURE CORRECT ITEM, VINTAGE, QUANTITY, AND COST. WITH NO",,,,,,,,,
,,"CONFIRMATION WE WILL ASSUME THAT OUR PURCHASE ORDER IS CORRECT AND WILL EXPECT YOU TO FULFILL,",,,,,,,,,
,,DELIVER AND INVOICE AS REQUESTED.,,,,,,,,,
