9/13/2021,Unnamed: 1,Unnamed: 2,Unnamed: 3,P U R C H A S E,O R D E R,Unnamed: 6,P.O. 7FV10901,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
CONFIRMATION #,,,,,,,,,,,
TRUCKING COMPANY STEER C/O COBALT,,,,,,,,,,,
----------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,
ITEM,ORD QTY,SIZE,DESC,PRODUCT,U/C,WEIGHT,UPC,CASE $,SPA $,NET,EXT.
,,,,,,,AT ENTRY AT ENTRY,,,CASE $,AMOUNT
----------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,
173100,112/000 750,,FITVINE,CAB,12,4301,8 53086 00800,85.00,1.00,84.00,9408.00
173110,56/000 750,,FITVINE,SAUV BLANC,12,2150,8 53086 00803,85.00,1.00,84.00,4704.00
173113,14/000 750,,FITVINE,ROSE,12,532,8 53086 00809,102.00,,102.00,1428.00
173128,4/000 750,,FITVINE,CAB/CHARD HOLIDAY COPACKS,6,144,8 53086 00835,85.00,,85.00,340.00
**,186.00,,,,,7127,,,,,15880.00
---- RECAP BY PROOF CODE,,,,(GALLONS),,,,,,,
1,14%< WINE,,,437.58,,,,,,,
,,**TOTALS: 186/0,,"QTY.,","437.58 GALLONS,","1656.000 LITERS,",,.00,,,
,,,,"7127.20 POUNDS,",,.0 CUBE,,,,,
,,"HEIDELBERG DISTRIBUTING COMPANY AND ITS AFFILIATED COMPANIES, REQUIRES CONFIRMATIONS WITHIN 3",,,,,,,,,
,,"BUSINESS DAYS TO PURCHASE ORDERS TO INSURE CORRECT ITEM, VINTAGE, QUANTITY, AND COST. WITH NO",,,,,,,,,
,,"CONFIRMATION WE WILL ASSUME THAT OUR PURCHASE ORDER IS CORRECT AND WILL EXPECT YOU TO FULFILL,",,,,,,,,,
,,DELIVER AND INVOICE AS REQUESTED.,,,,,,,,,
